no. , School Name , Phone , Country , Students , Grades 
1, ,"Shepaug Valley School
159 South Street, Washington, CT 06793", ,(860)868-7326,Litchfield County,472,6-12
2, ,"Washington Primary School
11 School St., Washington Depot, CT 06794", ,(860)868-7331,Litchfield County,154,PK-5
